"","Mno","Y","richness","richness.n","Entry","Study","Expt","Ref","Source","TDBU","FTG","TG","Ygen","Yqual","Yunits","Ydesc","Consumer","Taxon","Resource","Sys1","Sys2","Des1","Des2","Des3","Des4","Location","Lat","Lon","Elev","LatlonError","Slevels","Spool","Smax","Area","Vol","Bsize","SPscale","Dur","Gtime","Tscale","LnTscale","Tser","FinalT","SnonF","HigherT","AddTrt1","AddTrt2","AddTrt3","Treatment","restrt","Monotes","logS","Smax1","TG1","logY","unit.types","unit.types2","MaxTscale","Finaltime","logMaxTime"
"19",774,436,"3",3,54,10,23,"Callaway et al. 2003","F2","TD","P",1,"SST","","g m-2","Plant belowground dry mass","Plantae (Saltmarsh vegetation)","plant","Inorganic Inorganic nutrients (N)",0,5,2,4,2,"S","Tidal Linkage an excavated salt marsh plain within the Tijuana River National Estuarine Research Reserve; hereafter Tijuana Estuary.",32.56,-117.13,NA,"",3,8,"6",4,NA,"43.875",0.0912,1005,638.75,1.5734,"0.4532","N","Y","0","Y","","","","control","control","",1.09861228866811,6,"1",6.07764224334903,"mass","biomass",1.5734,"Y",0.453238882913005
"20",774,497,"6",6,54,10,23,"Callaway et al. 2003","F2","TD","P",1,"SST","","g m-2","Plant belowground dry mass","Plantae (Saltmarsh vegetation)","plant","Inorganic Inorganic nutrients (N)",0,5,2,4,2,"S","Tidal Linkage an excavated salt marsh plain within the Tijuana River National Estuarine Research Reserve; hereafter Tijuana Estuary.",32.56,-117.13,NA,"",3,8,"6",4,NA,"43.875",0.0912,1005,638.75,1.5734,"0.4532","N","Y","0","Y","","","","control","control","",1.79175946922805,6,"1",6.20859002609663,"mass","biomass",1.5734,"Y",0.453238882913005
"21",776,25.6,"1",1,76,16,29,"Dang et al. 2005","data from authors","TD","D",4,"SST","","mg L-1","Fungal biomass","Fungi (Hyphomycete)","fungi","Plantae (Alnus glutinosa leaf litter)",1,2,1,3,2,"S","Laboratoire Dynamique de la Biodiversite; UMR 5172 CNRSUPS; 29; rue Jeanne Marvig; 31055 Toulouse Cedex; France",43.57,1.46,NA,"lat long of address of first author",5,12,"8",NA,0.05,"",NA,28,10,2.8,"1.029619417","N","Y","1","N","Low nutrients","","","control","control","",0,8,"4",3.24259235148552,"mass","biomass",2.8,"Y",1.02961941718116
"22",776,27.7,"2",2,76,16,29,"Dang et al. 2005","data from authors","TD","D",4,"SST","","mg L-1","Fungal biomass","Fungi (Hyphomycete)","fungi","Plantae (Alnus glutinosa leaf litter)",1,2,1,3,2,"S","Laboratoire Dynamique de la Biodiversite; UMR 5172 CNRSUPS; 29; rue Jeanne Marvig; 31055 Toulouse Cedex; France",43.57,1.46,NA,"lat long of address of first author",5,12,"8",NA,0.05,"",NA,28,10,2.8,"1.029619417","N","Y","1","N","Low nutrients","","","control","control","",0.693147180559945,8,"4",3.32143241319329,"mass","biomass",2.8,"Y",1.02961941718116
"23",776,29.5,"8",8,76,16,29,"Dang et al. 2005","data from authors","TD","D",4,"SST","","mg L-1","Fungal biomass","Fungi (Hyphomycete)","fungi","Plantae (Alnus glutinosa leaf litter)",1,2,1,3,2,"S","Laboratoire Dynamique de la Biodiversite; UMR 5172 CNRSUPS; 29; rue Jeanne Marvig; 31055 Toulouse Cedex; France",43.57,1.46,NA,"lat long of address of first author",5,12,"8",NA,0.05,"",NA,28,10,2.8,"1.029619417","N","Y","1","N","Low nutrients","","","control","control","",2.07944154167984,8,"4",3.38439026334577,"mass","biomass",2.8,"Y",1.02961941718116
"24",776,26.8,"4",4,76,16,29,"Dang et al. 2005","data from authors","TD","D",4,"SST","","mg L-1","Fungal biomass","Fungi (Hyphomycete)","fungi","Plantae (Alnus glutinosa leaf litter)",1,2,1,3,2,"S","Laboratoire Dynamique de la Biodiversite; UMR 5172 CNRSUPS; 29; rue Jeanne Marvig; 31055 Toulouse Cedex; France",43.57,1.46,NA,"lat long of address of first author",5,12,"8",NA,0.05,"",NA,28,10,2.8,"1.029619417","N","Y","1","N","Low nutrients","","","control","control","",1.38629436111989,8,"4",3.28840188751681,"mass","biomass",2.8,"Y",1.02961941718116
"25",776,25.3,"6",6,76,16,29,"Dang et al. 2005","data from authors","TD","D",4,"SST","","mg L-1","Fungal biomass","Fungi (Hyphomycete)","fungi","Plantae (Alnus glutinosa leaf litter)",1,2,1,3,2,"S","Laboratoire Dynamique de la Biodiversite; UMR 5172 CNRSUPS; 29; rue Jeanne Marvig; 31055 Toulouse Cedex; France",43.57,1.46,NA,"lat long of address of first author",5,12,"8",NA,0.05,"",NA,28,10,2.8,"1.029619417","N","Y","1","N","Low nutrients","","","control","control","",1.79175946922805,8,"4",3.23080439573347,"mass","biomass",2.8,"Y",1.02961941718116
"26",777,31.9,"1",1,78,16,30,"Dang et al. 2005","F2","TD","D",4,"SST","","mg L-1","Fungal biomass","Fungi (Hyphomycete)","fungi","Plantae (Alnus glutinosa leaf litter)",1,2,1,3,2,"S","Laboratoire Dynamique de la Biodiversite; UMR 5172 CNRSUPS; 29; rue Jeanne Marvig; 31055 Toulouse Cedex; France",43.57,1.46,NA,"lat long of address of first author",5,12,"8",NA,0.05,"",NA,28,10,2.8,"1.029619417","N","Y","1","N","High nutrients","","","experimental","incr","",0,8,"4",3.4626060097908,"mass","biomass",2.8,"Y",1.02961941718116
"27",777,33.4,"2",2,78,16,30,"Dang et al. 2005","F2","TD","D",4,"SST","","mg L-1","Fungal biomass","Fungi (Hyphomycete)","fungi","Plantae (Alnus glutinosa leaf litter)",1,2,1,3,2,"S","Laboratoire Dynamique de la Biodiversite; UMR 5172 CNRSUPS; 29; rue Jeanne Marvig; 31055 Toulouse Cedex; France",43.57,1.46,NA,"lat long of address of first author",5,12,"8",NA,0.05,"",NA,28,10,2.8,"1.029619417","N","Y","1","N","High nutrients","","","experimental","incr","",0.693147180559945,8,"4",3.50855589998265,"mass","biomass",2.8,"Y",1.02961941718116
"28",777,39.4,"8",8,78,16,30,"Dang et al. 2005","F2","TD","D",4,"SST","","mg L-1","Fungal biomass","Fungi (Hyphomycete)","fungi","Plantae (Alnus glutinosa leaf litter)",1,2,1,3,2,"S","Laboratoire Dynamique de la Biodiversite; UMR 5172 CNRSUPS; 29; rue Jeanne Marvig; 31055 Toulouse Cedex; France",43.57,1.46,NA,"lat long of address of first author",5,12,"8",NA,0.05,"",NA,28,10,2.8,"1.029619417","N","Y","1","N","High nutrients","","","experimental","incr","",2.07944154167984,8,"4",3.67376581630389,"mass","biomass",2.8,"Y",1.02961941718116
"29",777,31.7,"4",4,78,16,30,"Dang et al. 2005","F2","TD","D",4,"SST","","mg L-1","Fungal biomass","Fungi (Hyphomycete)","fungi","Plantae (Alnus glutinosa leaf litter)",1,2,1,3,2,"S","Laboratoire Dynamique de la Biodiversite; UMR 5172 CNRSUPS; 29; rue Jeanne Marvig; 31055 Toulouse Cedex; France",43.57,1.46,NA,"lat long of address of first author",5,12,"8",NA,0.05,"",NA,28,10,2.8,"1.029619417","N","Y","1","N","High nutrients","","","experimental","incr","",1.38629436111989,8,"4",3.45631668088323,"mass","biomass",2.8,"Y",1.02961941718116
"30",777,31.1,"6",6,78,16,30,"Dang et al. 2005","F2","TD","D",4,"SST","","mg L-1","Fungal biomass","Fungi (Hyphomycete)","fungi","Plantae (Alnus glutinosa leaf litter)",1,2,1,3,2,"S","Laboratoire Dynamique de la Biodiversite; UMR 5172 CNRSUPS; 29; rue Jeanne Marvig; 31055 Toulouse Cedex; France",43.57,1.46,NA,"lat long of address of first author",5,12,"8",NA,0.05,"",NA,28,10,2.8,"1.029619417","N","Y","1","N","High nutrients","","","experimental","incr","",1.79175946922805,8,"4",3.43720781918519,"mass","biomass",2.8,"Y",1.02961941718116
"31",778,30.6,"8",8,80,16,31,"Dang et al. 2005","F2","TD","D",4,"SST","","mg L-1","Fungal biomass","Fungi (Hyphomycete)","fungi","Plantae (Quercus robur leaf litter)",1,2,1,3,2,"S","Laboratoire Dynamique de la Biodiversite; UMR 5172 CNRSUPS; 29; rue Jeanne Marvig; 31055 Toulouse Cedex; France",43.57,1.46,NA,"lat long of address of first author",5,12,"8",NA,0.05,"",NA,28,10,2.8,"1.029619417","N","Y","1","N","High nutrients","","","experimental","incr","",2.07944154167984,8,"4",3.42100000895834,"mass","biomass",2.8,"Y",1.02961941718116
"32",778,35,"2",2,80,16,31,"Dang et al. 2005","F2","TD","D",4,"SST","","mg L-1","Fungal biomass","Fungi (Hyphomycete)","fungi","Plantae (Quercus robur leaf litter)",1,2,1,3,2,"S","Laboratoire Dynamique de la Biodiversite; UMR 5172 CNRSUPS; 29; rue Jeanne Marvig; 31055 Toulouse Cedex; France",43.57,1.46,NA,"lat long of address of first author",5,12,"8",NA,0.05,"",NA,28,10,2.8,"1.029619417","N","Y","1","N","High nutrients","","","experimental","incr","",0.693147180559945,8,"4",3.55534806148941,"mass","biomass",2.8,"Y",1.02961941718116
"33",778,27.6,"4",4,80,16,31,"Dang et al. 2005","F2","TD","D",4,"SST","","mg L-1","Fungal biomass","Fungi (Hyphomycete)","fungi","Plantae (Quercus robur leaf litter)",1,2,1,3,2,"S","Laboratoire Dynamique de la Biodiversite; UMR 5172 CNRSUPS; 29; rue Jeanne Marvig; 31055 Toulouse Cedex; France",43.57,1.46,NA,"lat long of address of first author",5,12,"8",NA,0.05,"",NA,28,10,2.8,"1.029619417","N","Y","1","N","High nutrients","","","experimental","incr","",1.38629436111989,8,"4",3.3178157727231,"mass","biomass",2.8,"Y",1.02961941718116
"34",778,25.4,"1",1,80,16,31,"Dang et al. 2005","F2","TD","D",4,"SST","","mg L-1","Fungal biomass","Fungi (Hyphomycete)","fungi","Plantae (Quercus robur leaf litter)",1,2,1,3,2,"S","Laboratoire Dynamique de la Biodiversite; UMR 5172 CNRSUPS; 29; rue Jeanne Marvig; 31055 Toulouse Cedex; France",43.57,1.46,NA,"lat long of address of first author",5,12,"8",NA,0.05,"",NA,28,10,2.8,"1.029619417","N","Y","1","N","High nutrients","","","experimental","incr","",0,8,"4",3.23474917402449,"mass","biomass",2.8,"Y",1.02961941718116
"35",778,25.6,"6",6,80,16,31,"Dang et al. 2005","F2","TD","D",4,"SST","","mg L-1","Fungal biomass","Fungi (Hyphomycete)","fungi","Plantae (Quercus robur leaf litter)",1,2,1,3,2,"S","Laboratoire Dynamique de la Biodiversite; UMR 5172 CNRSUPS; 29; rue Jeanne Marvig; 31055 Toulouse Cedex; France",43.57,1.46,NA,"lat long of address of first author",5,12,"8",NA,0.05,"",NA,28,10,2.8,"1.029619417","N","Y","1","N","High nutrients","","","experimental","incr","",1.79175946922805,8,"4",3.24259235148552,"mass","biomass",2.8,"Y",1.02961941718116
"36",780,256.75,"1",1,84,19,34,"Dimitrakopoulos & Schmid 2004","F2; F3; T3; data from author","TD","P",1,"SST","","g m-2","Plant aboveground dry mass","Plantae (Herbacious grassland plants)","plant","",0,7,1,9,2,"S","Institute of Environmental Sciences of the University of Zurich (Switzerland)",47.37,8.54,NA,"",3,10,"6",0.02,0.925,"0.0935",0.2138,78,730,0.1068,"-2.2363","N","Y","0","N","Soil vol = low","","","control","control","",0,6,"1",5.54810284880867,"mass","biomass",0.1068,"Y",-2.23679735245604
"37",780,283.8,"3",3,84,19,34,"Dimitrakopoulos & Schmid 2004","F2; F3; T3; data from author","TD","P",1,"SST","","g m-2","Plant aboveground dry mass","Plantae (Herbacious grassland plants)","plant","",0,7,1,9,2,"S","Institute of Environmental Sciences of the University of Zurich (Switzerland)",47.37,8.54,NA,"",3,10,"6",0.02,0.925,"0.0935",0.2138,78,730,0.1068,"-2.2363","N","Y","0","N","Soil vol = low","","","control","control","",1.09861228866811,6,"1",5.64826976472594,"mass","biomass",0.1068,"Y",-2.23679735245604
"38",780,304.05,"6",6,84,19,34,"Dimitrakopoulos & Schmid 2004","F2; F3; T3; data from author","TD","P",1,"SST","","g m-2","Plant aboveground dry mass","Plantae (Herbacious grassland plants)","plant","",0,7,1,9,2,"S","Institute of Environmental Sciences of the University of Zurich (Switzerland)",47.37,8.54,NA,"",3,10,"6",0.02,0.925,"0.0935",0.2138,78,730,0.1068,"-2.2363","N","Y","0","N","Soil vol = low","","","control","control","",1.79175946922805,6,"1",5.71719216156612,"mass","biomass",0.1068,"Y",-2.23679735245604
"39",781,459.45,"1",1,85,19,35,"Dimitrakopoulos & Schmid 2004","F2; F3; T3; data from author","TD","P",1,"SST","","g m-2","Plant aboveground dry mass","Plantae (Herbacious grassland plants)","plant","",0,7,1,9,2,"S","Institute of Environmental Sciences of the University of Zurich (Switzerland)",47.37,8.54,NA,"",3,10,"6",0.02,1.991,"0.0935",0.2138,78,730,0.1068,"-2.2363","N","Y","0","N","Soil vol = med","","","experimental","control","",0,6,"1",6.13003012194689,"mass","biomass",0.1068,"Y",-2.23679735245604
"40",781,527,"3",3,85,19,35,"Dimitrakopoulos & Schmid 2004","F2; F3; T3; data from author","TD","P",1,"SST","","g m-2","Plant aboveground dry mass","Plantae (Herbacious grassland plants)","plant","",0,7,1,9,2,"S","Institute of Environmental Sciences of the University of Zurich (Switzerland)",47.37,8.54,NA,"",3,10,"6",0.02,1.991,"0.0935",0.2138,78,730,0.1068,"-2.2363","N","Y","0","N","Soil vol = med","","","experimental","control","",1.09861228866811,6,"1",6.26720054854136,"mass","biomass",0.1068,"Y",-2.23679735245604
"41",781,628.5,"6",6,85,19,35,"Dimitrakopoulos & Schmid 2004","F2; F3; T3; data from author","TD","P",1,"SST","","g m-2","Plant aboveground dry mass","Plantae (Herbacious grassland plants)","plant","",0,7,1,9,2,"S","Institute of Environmental Sciences of the University of Zurich (Switzerland)",47.37,8.54,NA,"",3,10,"6",0.02,1.991,"0.0935",0.2138,78,730,0.1068,"-2.2363","N","Y","0","N","Soil vol = med","","","experimental","control","",1.79175946922805,6,"1",6.4433360280303,"mass","biomass",0.1068,"Y",-2.23679735245604
"42",782,535.3846,"1",1,86,19,36,"Dimitrakopoulos & Schmid 2004","F2; F3; T3; data from author","TD","P",1,"SST","","g m-2","Plant aboveground dry mass","Plantae (Herbacious grassland plants)","plant","",0,7,1,9,2,"S","Institute of Environmental Sciences of the University of Zurich (Switzerland)",47.37,8.54,NA,"",3,10,"6",0.0267,3.915,"0.0935",0.2854,78,730,0.1068,"-2.2363","N","Y","0","N","Soil vol = high","","","experimental","control","",0,6,"1",6.2829853671313,"mass","biomass",0.1068,"Y",-2.23679735245604
"43",782,769.2308,"3",3,86,19,36,"Dimitrakopoulos & Schmid 2004","F2; F3; T3; data from author","TD","P",1,"SST","","g m-2","Plant aboveground dry mass","Plantae (Herbacious grassland plants)","plant","",0,7,1,9,2,"S","Institute of Environmental Sciences of the University of Zurich (Switzerland)",47.37,8.54,NA,"",3,10,"6",0.0267,3.915,"0.0935",0.2854,78,730,0.1068,"-2.2363","N","Y","0","N","Soil vol = high","","","experimental","control","",1.09861228866811,6,"1",6.64539105451465,"mass","biomass",0.1068,"Y",-2.23679735245604
"44",782,800.3846,"6",6,86,19,36,"Dimitrakopoulos & Schmid 2004","F2; F3; T3; data from author","TD","P",1,"SST","","g m-2","Plant aboveground dry mass","Plantae (Herbacious grassland plants)","plant","",0,7,1,9,2,"S","Institute of Environmental Sciences of the University of Zurich (Switzerland)",47.37,8.54,NA,"",3,10,"6",0.0267,3.915,"0.0935",0.2854,78,730,0.1068,"-2.2363","N","Y","0","N","Soil vol = high","","","experimental","control","",1.79175946922805,6,"1",6.68509236214467,"mass","biomass",0.1068,"Y",-2.23679735245604
"45",783,227.9,"1",1,87,20,37,"Duarte et al.  2006","F1; T1","TD","D",4,"SST","","mg L-1","Fungal biomass","Fungi (Hypomycete)","fungi","Plantae (Alnus glutinosa leaf litter)",1,2,1,3,1,"S","Department of Biology; Minho University; Campus de Gualtar; 4710-057 Braga; Portugal",41.56,-8.39,NA,"lat long of address of first author",4,4,"4",NA,0.1,"",NA,27,10,2.7,"0.993251773","N","Y","1","N","","","","control","control","",0,4,"4",5.42890693625164,"mass","biomass",2.7,"Y",0.993251773010283
"46",783,267.3,"2",2,87,20,37,"Duarte et al.  2006","F1; T1","TD","D",4,"SST","","mg L-1","Fungal biomass","Fungi (Hypomycete)","fungi","Plantae (Alnus glutinosa leaf litter)",1,2,1,3,1,"S","Department of Biology; Minho University; Campus de Gualtar; 4710-057 Braga; Portugal",41.56,-8.39,NA,"lat long of address of first author",4,4,"4",NA,0.1,"",NA,27,10,2.7,"0.993251773","N","Y","1","N","","","","control","control","",0.693147180559945,4,"4",5.58837162314487,"mass","biomass",2.7,"Y",0.993251773010283
"47",783,445.4,"4",4,87,20,37,"Duarte et al.  2006","F1; T1","TD","D",4,"SST","","mg L-1","Fungal biomass","Fungi (Hypomycete)","fungi","Plantae (Alnus glutinosa leaf litter)",1,2,1,3,1,"S","Department of Biology; Minho University; Campus de Gualtar; 4710-057 Braga; Portugal",41.56,-8.39,NA,"lat long of address of first author",4,4,"4",NA,0.1,"",NA,27,10,2.7,"0.993251773","N","Y","1","N","","","","control","control","",1.38629436111989,4,"4",6.09897275482327,"mass","biomass",2.7,"Y",0.993251773010283
