Entry,Study,ExptA,Expt,Ref,Source,TDBU,FTG,Ygen,Yqual,Yunits,Ydesc,Consumer,Resource,Sys1,Sys2,Des1,Des2,Des3,Des4,Location,Lat,Lon,Elev,LatlonError,Slevels,Spool,Smax,Area,Vol,Bsize,SPscale,LnSPscale,Dur,Gtime,Tscale,LnTscale,Tser,FinalT,SnonF,HigherT,Coll,Comment1,AddTrt1,AddTrt2,AddTrt3,ExpVar,NatVar,Comp.,Tr1,Tr2,Tr1Type,Tr2Type,CO2,fert,Nfert,Pfert,Ofert,Temp,Water,Light,Other,Nfertlevel,Pfertlevel,TdeloC,W%control,Light%control,Comment2,NEmono,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N18,N19,N20,N22,N23,N24,N31,N32,N36,N43,N60,N72,Emono,YEmono,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y18,Y19,Y20,Y22,Y23,Y24,Y31,Y32,Y36,Y43,Y60,Y72,SDEmono,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8,SD9,SD10,SD11,SD12,SD13,SD14,SD15,SD16,SD18,SD19,SD20,SD22,SD23,SD24,SD31,SD32,SD36,SD43,SD60,SD72,NSmax,YSmax,SDSmax,LRR1,VLRR1,CILRR1,SigLRR1,LRR2,VLRR2,CILRR2,SigLRR2,lina,linb,linrsq,linaic,mma,mmb,mmrsq,mmaic,powa,powb,powrsq,powaic,loga,logb,logrsq,logaic,expa,expb,exprsq,expaic,bestr2,bestaic,"Mclaim: What mechanism(s) do the authors claim underlie diversity effects in their study?  C = Complementarity, F = Facilitation, I = Interference competition, ID = Species identity or composition, IN = Reduced intraspecific competition in polycultures, IP = Intraguild predation, N = Non-linear functional responses, NE = No diversity effect, R = Resource or other form of niche partitioning, S = Sampling effect, Se = Selection effect.",Mtest,Prich,Pcomp,SStot,SSrich,SScomp,PerSSrich,PerSScomp,SScomp2rich,RYT,SDRYT,DT,SDDT,Dmax,SDDmax,Dmean,SDDmean,CE,SDCE,SE,SDSE,SE2CE,DE,SDDE,TDC,SDTDC,TIC,SDTIC,rMiYoi,rMiRYi,Flag1,Flag2,Comment3
795,113,283,283,"Bastian et al, Austr Ecol 2008",Data From Author,TD,4,RD,T,proportional change,Original units: g L-1,"Animalia: Arthropoda: Insecta: Trichoptera (Triplectides gonetalus, Lectrides varians, Anisocentropus kirramus)",Plantae (Apodytes brachystylis leaf letter),A,2,1,.,1,S,"School of Tropical Biology, James Cook University, Townsville, Qld 4811, Australia",-19.33,146.76,.,no information on type experimental system; lat long of address of first author,3,3,3,.,1.2,0.0015,792.9515,6.6758,10,41,0.2439,-1.411,N,Y,1,N,KM,"Generation time taken from Griffiths et al., Ecology 2012",Water: 20 ç C,.,.,,,,,,,,,,,,,,,,,,,,,,,6,18,18,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Tripplectides,0.0387,0.0547,0.0419,0.0526,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0338,0.0306,0.0212,0.0344,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,0.053,0.034,-0.039,0.088,0.583,N,0.309,0.199,0.874,N,0.9477,-0.0192,2.3472,0.7647,0.8177,-0.1609,19.5112,0.1848,-0.0581,-0.0732,7.9971,1.4077,0.9496,-0.0675,8.9524,0.5546,-0.0626,-0.0196,1.8558,1.6016,,,I,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
796,113,284,284,"Bastian et al, Austr Ecol 2008",Data From Author,TD,4,RD,T,proportional change,Original units: g L-1,"Animalia: Arthropoda: Insecta: Trichoptera (Triplectides gonetalus, Lectrides varians, Anisocentropus kirramus)",Plantae (Apodytes brachystylis leaf letter),A,2,1,.,1,S,"School of Tropical Biology, James Cook University, Townsville, Qld 4811, Australia",-19.33,146.76,.,no information on type experimental system; lat long of address of first author,3,3,3,.,1.2,0.0015,792.9515,6.6758,10,41,0.2439,-1.411,N,Y,1,N,KM,"Generation time taken from Griffiths et al., Ecology 2013",Water: 15 ç C,.,.,,,,,,,,,,,,,,,,,,,,,,,6,18,18,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Lectrides,0.0644,0.0387,0.0454,0.0485,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0156,0.0338,0.021,0.0367,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,0.048,0.037,0.226,0.138,0.728,N,-0.285,0.105,0.636,N,0.889,0.127,95.4604,-8.2242,1.4337,0.435,99.9672,-23.012,0.0044,0.2088,99.1842,-14.0292,1.0035,0.2334,99.5825,-15.383,-0.0971,0.1131,94.3269,-8.2112,,,I,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
797,113,285,285,"Bastian et al, Austr Ecol 2008",Data From Author,TD,4,RD,T,proportional change,Original units: g L-1,"Animalia: Arthropoda: Insecta: Trichoptera (Triplectides gonetalus, Lectrides varians, Anisocentropus kirramus)","Plantae (Apodytes brachystylis, Cryptocarya leucophylla, Endiandra bessaphila leaf letter)",A,2,1,.,1,S,"School of Tropical Biology, James Cook University, Townsville, Qld 4811, Australia",-19.33,146.76,.,no information on type experimental system; lat long of address of first author,3,3,3,.,1.2,0.0015,792.9515,6.6758,10,41,0.2439,-1.411,N,Y,3,N,KM,"Generation time taken from Griffiths et al., Ecology 2014",Water: 20 ç C,.,.,,,,,,,,,,,,,,,,,,,,,,,6,18,18,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Anisocentropus,0.19,0.1334,0.1374,0.1434,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0397,0.0637,0.0489,0.0611,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,0.143,0.061,0.072,0.043,0.406,N,-0.281,0.038,0.38,N,0.9603,0.0374,98.7932,-19.6425,1.1009,0.1056,86.3978,-12.3757,-0.0038,0.0631,93.8708,-14.9909,0.9959,0.0654,93.3847,-14.5382,-0.0381,0.036,99.0008,-20.4326,,,I,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
798,113,286,286,"Bastian et al, Austr Ecol 2008",Data From Author,TD,4,RD,T,proportional change,Original units: g L-1,"Animalia: Arthropoda: Insecta: Trichoptera (Triplectides gonetalus, Lectrides varians, Anisocentropus kirramus)","Plantae (Apodytes brachystylis, Cryptocarya leucophylla, Endiandra bessaphila leaf letter)",A,2,1,.,1,S,"School of Tropical Biology, James Cook University, Townsville, Qld 4811, Australia",-19.33,146.76,.,no information on type experimental system; lat long of address of first author,3,3,3,.,1.2,0.0015,792.9515,6.6758,10,41,0.2439,-1.411,N,Y,3,N,KM,"Generation time taken from Griffiths et al., Ecology 2015",Water: 15 ç C,.,.,,,,,,,,,,,,,,,,,,,,,,,6,18,18,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Lectrides,0.0907,0.1334,0.144,0.1305,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0643,0.0637,0.05,0.0586,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,0.131,0.059,-0.022,0.046,0.421,N,0.364,0.117,0.671,N,1.0408,-0.0107,4.0506,-4.433,1.0265,0.0114,0.5896,-4.3266,0.0217,-0.0057,0.3754,-4.5043,1.0224,-0.005,0.2764,-4.3172,0.0399,-0.0108,4.401,-4.6281,,,I,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
820,116,304,304,"Nilsson et al, Oecologia 2008",Data From Author,TD,3,RD,C,proportional change,Original units: g L-1,"Animalia (Barbatula barbatula, Pacifastacus leniusculus, Salmo trutta)",Aminalia (stream macroinvertebrates),A,2,3,2,1,S,River BrÔÔn,55.78,13.33,.,"lat long is for a place in the River Braan, with an error of 1 km.",3,3,3,.,160,350,0.4571,-0.7828,26,790,0.0329,-3.4139,N,Y,5,N,KM,The Y1 and Y2 values are negative because the monocultures and two species treatments experienced more invertebrate growth then the predator free controls.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,2,6,6,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Brown Trout,0.2979,-0.1935,-0.1194,0.0443,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.3771,1.1422,0.6925,0.7509,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,0.044,0.751,.,.,.,.,-1.907,144.754,23.581,N,1.6915,-0.6144,95.4826,1.2211,0.1433,-0.8575,59.7108,7.7855,0,-0.6964,.,.,1.0944,-1.0575,87.3105,4.3196,0.4827,-0.4827,.,.,,,CE,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
822,116,305,305,"Nilsson et al, Oecologia 2008",Data From Author,TD,3,RD,C,proportional change,Original units: g L-1,"Animalia (Barbatula barbatula, Pacifastacus leniusculus, Salmo trutta)",Aminalia (stream macroinvertebrates),A,2,3,2,1,S,River BrÔÔn,55.78,13.33,.,"lat long is for a place in the River Braan, with an error of 1 km.",3,3,3,.,160,350,0.4571,-0.7828,26,790,0.0329,-3.4139,N,Y,5,N,KM,The Y1 and Y2 values are negative because the monocultures and two species treatments experienced more invertebrate growth then the predator free controls.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,2,6,5,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crayfish,0.4327,-0.1673,-0.3283,0.5083,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.7884,1.284,1.4513,0.9387,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,0.508,0.939,.,.,.,.,0.161,3.365,3.595,N,4.0127,-2.0191,57.9157,16.5551,.,.,.,.,0,0.9723,.,.,1.8443,-3.1304,42.9677,17.4669,-0.674,0.674,.,.,,,CE,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
845,119,311,311,"Dybzinski et al, Oecologia 2008",Data From Author,TD,1,RD,T,mg kg-1,Soil nitrogen mass,Plantae (grasses and forbs),Inorganic nutrients,T,7,2,4,2,S,"Cedar Creek Natural History area in Minnesota, USA",45.4,-93.2,.,.,5,16,16,81,.,29,2.7931,1.0272,4015,880,4.5625,1.5179,N,Y,0,Y,KM,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,1,35,28,.,29,.,.,.,30,.,.,.,.,.,.,.,35,.,.,.,.,.,.,.,.,.,.,.,.,,0.0675,0.0406,0.0454,.,0.0443,.,.,.,0.0468,.,.,.,.,.,.,.,0.0489,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0091,0.009,.,0.0103,.,.,.,0.0075,.,.,.,.,.,.,.,0.0135,.,.,.,.,.,.,.,.,.,.,.,.,35,0.049,0.014,0.186,0.004,0.118,Y,-0.322,.,.,.,1.0471,0.0107,72.7033,-13.1443,1.1891,0.1849,83.2057,-15.5729,0.0246,0.0582,83.9879,-16.7296,1.0243,0.0642,84.8783,-16.0975,0.046,0.0096,70.1829,-13.621,,,SE,Y,0.09,0.0013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.
846,119,311,311,"Dybzinski et al, Oecologia 2008",Data From Author,TD,1,RD,I,µg N g-1 soil day-1,Nitrogen mineralization rate,Plantae (grasses and forbs),Inorganic nutrients,T,7,2,4,2,S,"Cedar Creek Natural History area in Minnesota, USA",45.4,-93.2,.,.,5,16,16,81,.,29,2.7931,1.0272,4015,880,4.5625,1.5179,N,Y,0,Y,KM,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,1,33,21,.,10,.,.,.,13,.,.,.,.,.,.,.,29,.,.,.,.,.,.,.,.,.,.,.,.,,1.38,0.8239,1.1643,.,0.975,.,.,.,1.2877,.,.,.,.,.,.,.,1.4097,.,.,.,.,.,.,.,.,.,.,.,.,.,0.2122,0.4058,.,0.2697,.,.,.,0.3605,.,.,.,.,.,.,.,0.5301,.,.,.,.,.,.,.,.,.,.,.,.,29,1.41,0.53,0.537,0.007,0.163,Y,0.021,.,.,.,1.1306,0.0393,70.1485,0.5073,1.6764,0.6604,69.6713,0.5866,0.0646,0.1695,73.7679,-2.93,1.0597,0.2267,75.5422,-0.4891,0.1227,0.0285,64.7012,-1.4457,,,SE,Y,0.0018,0.0071,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.
855,122,315,315,"Verheyen et al, Oecologia 2008",Data From Author,TD,1,RD,I,mm 35 day-1,Plant evapotranspiration rate,"Plantae (Achillea millefolium, Dactylis glomerata, Festuca ovina,  Leucanthemum vulgare, Lotus corniculatus, Phalaris arundinacea, Phleum pratense, Ranunculis acris, Rumex acetosa, Trifolium hybridum, Trifolium pratense, Trifolium repens)",Inorganic nutrients,T,7,2,4,2,S,"Swedish University of Agricultural Sciences in Umea, Sweden",63.75,20.28,12,.,5,12,12,11,.,8.2,1.3415,0.2938,35,929,0.0377,-3.2788,N,Y,0,Y,KM,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,1,12,5,.,6,.,.,.,3,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Trifolium repens,52.2,40.475,39.1,.,46.0167,.,.,.,52.0667,.,.,.,50.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7.6688,10.8377,.,4.7021,.,.,.,2.5027,.,.,.,1.1314,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,50.8,1.131,0.227,0.003,0.112,Y,-0.027,.,.,.,0.9762,0.0283,79.2188,-8.1012,1.2827,0.3831,73.027,-6.7972,-0.0424,0.1181,84.6978,-10.7517,0.9529,0.1324,85.0962,-9.7634,-0.0212,0.0251,78.4258,-9.0341,,,"CE, R",N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
856,123,316,316,"Bracken et al, PNAS 2008",Data From Author,TD,1,RD,I,L NH4+ h-1 g-1,Algal nitrogren uptake rate (NH4+),"Plantae (Porphyra, Mazzaella, Endocladia, Corallina, Mastocarpus, Prionitis, Cladophora)",Inorganic nutrients (N),A,4,1,3,3,S,"Bodega Marine Laboratory, University of California at Davis, P.O. Box 247, Bodega Bay, California 94923 USA",38.32,-123.07,0,.,4,7,7,.,0.4,3.5,0.1143,-2.1691,0.03125,365,0.0001,-9.3656,N,Y,0,N,KM,.,2 umol/liter,Non-Random Extinction,.,,,,,,,,,,,,,,,,,,,,,,,4,27,.,12,.,.,8,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Cladophora,0.0188,0.0557,.,0.0457,.,.,0.0608,0.0236,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0095,0.0332,.,0.0273,.,.,0.0408,0.0186,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,0.024,0.019,-0.86,0.169,0.805,Y,0.228,0.22,0.92,N,1.0582,-0.0528,24.1732,5.3518,0.7296,-0.2759,16.2329,5.7501,0.0451,-0.238,24.2394,8.3098,1.0143,-0.1494,20.0193,5.5651,0.1242,-0.0863,30.7955,7.9478,,,ID,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
857,123,317,317,"Bracken et al, PNAS 2008",Data From Author,TD,1,RD,I,L NH4+ h-1 g-1,Algal nitrogren uptake rate (NH4+),"Plantae (Porphyra, Mazzaella, Endocladia, Corallina, Mastocarpus, Prionitis, Cladophora)",Inorganic nutrients (N),A,4,1,3,3,S,"Bodega Marine Laboratory, University of California at Davis, P.O. Box 247, Bodega Bay, California 94923 USA",38.32,-123.07,0,.,4,7,7,.,0.4,3.5,0.1143,-2.1691,0.03125,365,0.0001,-9.3656,N,Y,0,N,KM,.,4 umol/liter,Non-Random Extinction,.,,,,,,,,,,,,,,,,,,,,,,,4,28,.,12,.,.,8,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Cladophora,0.0181,0.0644,.,0.0493,.,.,0.0659,0.0547,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0066,0.0346,.,0.022,.,.,0.0199,0.0103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,0.055,0.01,-0.164,0.019,0.271,N,1.106,0.042,0.403,Y,0.9248,-0.0036,0.6426,-0.5733,0.8644,-0.1162,13.4902,-1.1272,-0.062,-0.033,4.4834,0.1752,0.9464,-0.0305,4.7975,-0.7442,-0.0876,-0.0034,0.4475,0.3407,,,ID,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
858,123,318,318,"Bracken et al, PNAS 2008",Data From Author,TD,1,RD,I,L NH4+ h-1 g-1,Algal nitrogren uptake rate (NH4+),"Plantae (Porphyra, Mazzaella, Endocladia, Corallina, Mastocarpus, Prionitis, Cladophora)",Inorganic nutrients (N),A,4,1,3,3,S,"Bodega Marine Laboratory, University of California at Davis, P.O. Box 247, Bodega Bay, California 94923 USA",38.32,-123.07,0,.,4,7,7,.,0.4,3.5,0.1143,-2.1691,0.03125,365,0.0001,-9.3656,N,Y,0,N,KM,.,8 umol/liter,Non-Random Extinction,.,,,,,,,,,,,,,,,,,,,,,,,4,28,.,12,.,.,8,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Cladophora,0.0234,0.0654,.,0.0532,.,.,0.0541,0.0637,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.011,0.029,.,0.0112,.,.,0.0252,0.008,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,0.064,0.008,-0.027,0.011,0.205,N,1.003,0.06,0.478,Y,0.93,-0.0063,3.2119,-2.57,0.8498,-0.1372,31.3121,-3.9418,-0.0507,-0.046,14.2798,-2.2254,0.9546,-0.0426,15.0613,-3.0924,-0.0783,-0.0066,2.8306,-1.7239,,,ID,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
859,123,319,319,"Bracken et al, PNAS 2008",Data From Author,TD,1,RD,I,L NH4+ h-1 g-1,Algal nitrogren uptake rate (NH4+),"Plantae (Porphyra, Mazzaella, Endocladia, Corallina, Mastocarpus, Prionitis, Cladophora)",Inorganic nutrients (N),A,4,1,3,3,S,"Bodega Marine Laboratory, University of California at Davis, P.O. Box 247, Bodega Bay, California 94923 USA",38.32,-123.07,0,.,4,7,7,.,0.4,3.5,0.1143,-2.1691,0.03125,365,0.0001,-9.3656,N,Y,0,N,KM,.,12 umol/liter,Non-Random Extinction,.,,,,,,,,,,,,,,,,,,,,,,,4,28,.,12,.,.,8,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Porphyra,0.1007,0.0628,.,0.05,.,.,0.0617,0.0705,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0069,0.0262,.,0.0154,.,.,0.0176,0.0018,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,0.07,0.002,0.115,0.006,0.157,N,-0.357,0.001,0.072,Y,0.8706,0.0245,25.1516,-1.007,0.9864,0.0294,0.6324,0.1265,-0.0839,0.042,6.769,0.3604,0.9227,0.043,8.0339,-0.1831,-0.1393,0.025,23.1615,-0.4131,,,ID,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
860,123,320,320,"Bracken et al, PNAS 2008",Data From Author,TD,1,RD,I,L NH4+ h-1 g-1,Algal nitrogren uptake rate (NH4+),"Plantae (Porphyra, Mazzaella, Endocladia, Corallina, Mastocarpus, Prionitis, Cladophora)",Inorganic nutrients (N),A,4,1,3,3,S,"Bodega Marine Laboratory, University of California at Davis, P.O. Box 247, Bodega Bay, California 94923 USA",38.32,-123.07,0,.,4,7,7,.,0.4,3.5,0.1143,-2.1691,0.03125,365,0.0001,-9.3656,N,Y,0,N,KM,.,20 umol/liter,Non-Random Extinction,.,,,,,,,,,,,,,,,,,,,,,,,4,28,.,12,.,.,8,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mazzealla,0.0984,0.0674,.,0.0616,.,.,0.0563,0.0918,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.045,0.0334,.,0.052,.,.,0.0154,0.0273,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,0.092,0.027,0.31,0.031,0.344,N,-0.069,0.074,0.535,N,0.8757,0.0359,18.0606,3.7484,1.078,0.1214,3.5449,4.4008,-0.0582,0.0567,5.5896,3.5835,0.9354,0.077,8.5719,4.1867,-0.111,0.0285,13.6755,3.2254,,,ID,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
861,123,321,321,"Bracken et al, PNAS 2008",Data From Author,TD,1,RD,I,L NH4+ h-1 g-1,Algal nitrogren uptake rate (NH4+),"Plantae (Porphyra, Mazzaella, Endocladia, Corallina, Mastocarpus, Prionitis, Cladophora)",Inorganic nutrients (N),A,4,1,3,3,S,"Bodega Marine Laboratory, University of California at Davis, P.O. Box 247, Bodega Bay, California 94923 USA",38.32,-123.07,0,.,4,7,7,.,0.4,3.5,0.1143,-2.1691,0.03125,365,0.0001,-9.3656,N,Y,0,N,KM,.,30 umol/liter,Non-Random Extinction,.,,,,,,,,,,,,,,,,,,,,,,,4,28,.,12,.,.,8,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Porphyra,0.1,0.0632,.,0.0467,.,.,0.0534,0.0774,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0076,0.0273,.,0.0233,.,.,0.019,0.004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,0.077,0.004,0.203,0.007,0.168,Y,-0.257,0.002,0.09,Y,0.8267,0.0296,14.9306,3.1035,0.9548,0.0059,0.0099,3.7499,-0.1101,0.036,2.1382,3.9309,0.899,0.0443,3.4635,3.6093,-0.1863,0.0281,12.6345,3.4771,,,ID,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
862,123,322,322,"Bracken et al, PNAS 2008",Data From Author,TD,1,RD,I,L NH4+ h-1 g-1,Algal nitrogren uptake rate (NH4+),"Plantae (Porphyra, Mazzaella, Endocladia, Corallina, Mastocarpus, Prionitis, Cladophora)",Inorganic nutrients (N),A,4,1,3,3,S,"Bodega Marine Laboratory, University of California at Davis, P.O. Box 247, Bodega Bay, California 94923 USA",38.32,-123.07,0,.,4,7,7,.,0.4,3.5,0.1143,-2.1691,0.03125,365,0.0001,-9.3656,N,Y,0,N,KM,.,40 umol/liter,Non-Random Extinction,.,,,,,,,,,,,,,,,,,,,,,,,4,28,.,12,.,.,8,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Porphyra,0.1025,0.0646,.,0.0518,.,.,0.0616,0.0733,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0059,0.0246,.,0.0074,.,.,0.016,0.0057,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,0.073,0.006,0.127,0.007,0.16,N,-0.335,0.002,0.095,Y,0.8719,0.0238,22.6997,-0.6934,0.9826,0.0239,0.4009,0.3204,-0.0817,0.0387,5.6729,0.4643,0.9241,0.0405,6.8156,0.0541,-0.1368,0.024,20.9854,-0.2442,,,ID,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
863,123,323,323,"Bracken et al, PNAS 2008",Data From Author,TD,1,RD,I,L NH4+ h-1 g-1,Algal nitrogren uptake rate (NH4+),"Plantae (Porphyra, Mazzaella, Endocladia, Corallina, Mastocarpus, Prionitis, Cladophora)",Inorganic nutrients (N),A,4,1,3,3,S,"Bodega Marine Laboratory, University of California at Davis, P.O. Box 247, Bodega Bay, California 94923 USA",38.32,-123.07,0,.,4,7,7,.,0.4,3.5,0.1143,-2.1691,0.03125,365,0.0001,-9.3656,N,Y,0,N,KM,.,60 umol/liter,Non-Random Extinction,.,,,,,,,,,,,,,,,,,,,,,,,4,28,.,12,.,.,8,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Porphyra,0.099,0.0635,.,0.0534,.,.,0.0577,0.0724,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0063,0.0269,.,0.0089,.,.,0.0075,0.0072,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,0.072,0.007,0.131,0.009,0.185,N,-0.314,0.003,0.115,Y,0.8932,0.0186,15.6905,-0.8365,0.9749,0.0066,0.0358,-0.1552,-0.0652,0.0253,2.9272,-0.1629,0.9378,0.0286,3.8304,-0.31,-0.111,0.018,14.2169,-0.6575,,,ID,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
