Mno,Entry,Study,Expt,Ref,Source,TDBU,FTG,TG,Ygen,Yqual,Yunits,Ydesc,Consumer,Taxon,Resource,Sys1,Sys2,Des1,Des2,Des3,Des4,Location,Lat,Lon,Elev,LatlonError,Slevels,Spool,Smax,Area,Vol,Bsize,SPscale,Dur,Gtime,Tscale,LnTscale,Tser,FinalT,SnonF,HigherT,AddTrt1,AddTrt2,AddTrt3,Treatment,restrt,Monotes,YEmono,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
9,12,3,8,B_rlocher & Corkum 2003,F1; F2; T2; data from authors,TD,D,4,RD,C,proportional change,Original units: g L-1 (leaf litter dry mass),Fungi (Hyphomycete),,Plantae (Quercus robur leaf litter),1,2,1,3,2,,Dept of Biology; Mount Allison Uni.; 63B York Street; Sack ille; New Brunswick; E4L 1G7 Canada,45.89,-64.89,,lat long of address of first author,5,5,5,,0.05,,,21,10,2.1,-3.208,N,Y,1,N,High N,Low P,High Ca,experimental,incr,,0.097,0.0596,0.0647,0.0835,0.069,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,13,3,9,B_rlocher & Corkum 2003,F1; F2; T2; data from authors,TD,D,4,RD,C,proportional change,Original units: g L-1 (leaf litter dry mass),Fungi (Hyphomycete),,Plantae (Quercus robur leaf litter),1,2,1,3,2,,Dept of Biology; Mount Allison Uni.; 63B York Street; Sack ille; New Brunswick; E4L 1G7 Canada,45.89,-64.89,,lat long of address of first author,5,5,5,,0.05,,,21,10,2.1,-3.208,N,Y,1,N,High N,High P,Low Ca,experimental,incr,,0.127,0.075,0.0813,0.1015,0.1005,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,14,3,10,B_rlocher & Corkum 2003,F1; F2; T2; data from authors,TD,D,4,RD,C,proportional change,Original units: g L-1 (leaf litter dry mass),Fungi (Hyphomycete),,Plantae (Quercus robur leaf litter),1,2,1,3,2,,Dept of Biology; Mount Allison Uni.; 63B York Street; Sack ille; New Brunswick; E4L 1G7 Canada,45.89,-64.89,,lat long of address of first author,5,5,5,,0.05,,,21,10,2.1,-3.208,N,Y,1,N,High N,High P,High Ca,experimental,incr,,0.145,0.0774,0.0977,0.103,0.0995,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,15,3,3,B_rlocher & Corkum 2003,F1; F2; T2; data from authors,TD,D,4,SSR,,g L-1,Litter dry mass,Fungi (Hyphomycete),,Plantae (Quercus robur leaf litter),1,2,1,3,2,,Dept of Biology; Mount Allison Uni.; 63B York Street; Sack ille; New Brunswick; E4L 1G7 Canada,45.89,-64.89,,lat long of address of first author,5,5,5,,0.05,,,21,10,2.1,-3.208,N,Y,1,N,Low N,Low P,Low Ca,control,control,,6.9385,6.8557,6.8649,6.8522,6.8488,6.8626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,16,3,4,B_rlocher & Corkum 2003,F1; F2; T2; data from authors,TD,D,4,SSR,,g L-1,Litter dry mass,Fungi (Hyphomycete),,Plantae (Quercus robur leaf litter),1,2,1,3,2,,Dept of Biology; Mount Allison Uni.; 63B York Street; Sack ille; New Brunswick; E4L 1G7 Canada,45.89,-64.89,,lat long of address of first author,5,5,5,,0.05,,,21,10,2.1,-3.208,N,Y,1,N,Low N,Low P,High Ca,experimental,incr,,6.5795,6.7576,6.8235,6.7832,6.7694,6.7521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,17,3,5,B_rlocher & Corkum 2003,F1; F2; T2; data from authors,TD,D,4,SSR,,g L-1,Litter dry mass,Fungi (Hyphomycete),,Plantae (Quercus robur leaf litter),1,2,1,3,2,,Dept of Biology; Mount Allison Uni.; 63B York Street; Sack ille; New Brunswick; E4L 1G7 Canada,45.89,-64.89,,lat long of address of first author,5,5,5,,0.05,,,21,10,2.1,-3.208,N,Y,1,N,Low N,High P,Low Ca,experimental,incr,,6.4621,6.6693,6.6785,6.5761,6.5761,6.6278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,18,3,6,B_rlocher & Corkum 2003,F1; F2; T2; data from authors,TD,D,4,SSR,,g L-1,Litter dry mass,Fungi (Hyphomycete),,Plantae (Quercus robur leaf litter),1,2,1,3,2,,Dept of Biology; Mount Allison Uni.; 63B York Street; Sack ille; New Brunswick; E4L 1G7 Canada,45.89,-64.89,,lat long of address of first author,5,5,5,,0.05,,,21,10,2.1,-3.208,N,Y,1,N,Low N,High P,High Ca,experimental,incr,,6.4207,6.6582,6.637,6.6313,6.5277,6.4552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,19,3,7,B_rlocher & Corkum 2003,F1; F2; T2; data from authors,TD,D,4,SSR,,g L-1,Litter dry mass,Fungi (Hyphomycete),,Plantae (Quercus robur leaf litter),1,2,1,3,2,,Dept of Biology; Mount Allison Uni.; 63B York Street; Sack ille; New Brunswick; E4L 1G7 Canada,45.89,-64.89,,lat long of address of first author,5,5,5,,0.05,,,21,10,2.1,-3.208,N,Y,1,N,High N,Low P,Low Ca,experimental,incr,,6.1515,6.5063,6.2389,6.3862,6.4207,6.2688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,20,3,8,B_rlocher & Corkum 2003,F1; F2; T2; data from authors,TD,D,4,SSR,,g L-1,Litter dry mass,Fungi (Hyphomycete),,Plantae (Quercus robur leaf litter),1,2,1,3,2,,Dept of Biology; Mount Allison Uni.; 63B York Street; Sack ille; New Brunswick; E4L 1G7 Canada,45.89,-64.89,,lat long of address of first author,5,5,5,,0.05,,,21,10,2.1,-3.208,N,Y,1,N,High N,Low P,High Ca,experimental,incr,,6.2343,6.4925,6.4575,6.3275,6.4276,6.4345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,21,3,9,B_rlocher & Corkum 2003,F1; F2; T2; data from authors,TD,D,4,SSR,,g L-1,Litter dry mass,Fungi (Hyphomycete),,Plantae (Quercus robur leaf litter),1,2,1,3,2,,Dept of Biology; Mount Allison Uni.; 63B York Street; Sack ille; New Brunswick; E4L 1G7 Canada,45.89,-64.89,,lat long of address of first author,5,5,5,,0.05,,,21,10,2.1,-3.208,N,Y,1,N,High N,High P,Low Ca,experimental,incr,,6.0272,6.3862,6.3425,6.2032,6.2101,6.1377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,22,3,10,B_rlocher & Corkum 2003,F1; F2; T2; data from authors,TD,D,4,SSR,,g L-1,Litter dry mass,Fungi (Hyphomycete),,Plantae (Quercus robur leaf litter),1,2,1,3,2,,Dept of Biology; Mount Allison Uni.; 63B York Street; Sack ille; New Brunswick; E4L 1G7 Canada,45.89,-64.89,,lat long of address of first author,5,5,5,,0.05,,,21,10,2.1,-3.208,N,Y,1,N,High N,High P,High Ca,experimental,incr,,5.9029,6.3696,6.2297,6.1929,6.2171,6.0134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,23,4,11,Bell et al. 2005,F3; T1;  data from authors,TD,D,4,RD,I,mg CO2 mL-1 day-1,Bacteria respiration rate,Bacteria,,Plantae (Beech leaf litter),1,14,1,3,2,S,Centre for Ecology and Hydrology in Oxford,51.75,-1.25,,,12,72,72,,0.01,0,0,7,0.4167,16.8,2.8214,Y,N,1,N,,,,control,control,,20.3076,12.2,13.8,14.6,15.7,,16,,17.4,16.1,,,17.2,,,,,,18.9,,,,,,19.8,,,,,,,,,,,,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7
13,24,4,11,Bell et al. 2005,F3; T1;  data from authors,TD,D,4,RD,I,mg CO2 mL-1 day-1,Bacteria respiration rate,Bacteria,,Plantae (Beech leaf litter),1,14,1,3,2,S,Centre for Ecology and Hydrology in Oxford,51.75,-1.25,,,12,72,72,,0.01,0,0,14,0.4167,33.6,3.5145,Y,N,1,N,,,,control,control,,11.1257,3.16,4.29,4.74,4.89,,4.89,,5.27,5.57,,,6.1,,,,,,6.63,,,,,,7.3,,,,,,,,,,,,6.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.71
14,25,4,11,Bell et al. 2005,F3; T1;  data from authors,TD,D,4,RD,I,mg CO2 mL-1 day-1,Bacteria respiration rate,Bacteria,,Plantae (Beech leaf litter),1,14,1,3,2,S,Centre for Ecology and Hydrology in Oxford,51.75,-1.25,,,12,72,72,,0.01,0,0,28,0.4167,67.2,4.2077,Y,Y,1,N,,,,control,control,,7.3229,2.33,2.79,2.79,2.86,,2.94,,3.69,3.61,,,4.44,,,,,,5.05,,,,,,4.44,,,,,,,,,,,,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.87
766,26,5,12,Bret-Harte et al. 2004,F1; F4,TD,P,1,SST,,g m-2,Plant aboveground dry mass,Plantae (tussock tundra ... graminoids; deciduous shrubs; evergreen shrubs; mosses),plant,Inorganic Inorganic nutrients (N/P),0,12,2,4,3,R,Toolik Lake at the arctic Longterm Ecological Research (LTER) site in the northern foothills of the Brooks Range; Alaska,68.63,-149.57,760,,5,,24,6,,9.4667,0.6338,730,1095,0.6667,-0.4055,N,Y,0,,Ambient nutrients,,,control,control,,,,,,,,,,,,,,,,,,,,,583,418,,408,621,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,27,5,12,Bret-Harte et al. 2004,F1; F4,TD,P,1,SSR,,mg NO3-N g-1 dry weight resin,,Plantae (tussock tundra ... graminoids; deciduous shrubs; evergreen shrubs; mosses),,Inorganic Inorganic nutrients (N/P),0,12,2,4,3,R,Toolik Lake at the arctic Longterm Ecological Research (LTER) site in the northern foothills of the Brooks Range; Alaska,68.63,-149.57,760,,5,,24,6,,9.4667,0.6338,730,1095,0.6667,-0.4055,N,Y,0,,Ambient nutrients,,,control,control,,,,,,,,,,,,,,,,,,,,,13.4,114,,2.73,3.73,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,28,5,12,Bret-Harte et al. 2004,F1; F4,TD,P,1,SSR,,mg PO4-N g-1 dry weight resin,,Plantae (tussock tundra ... graminoids; deciduous shrubs; evergreen shrubs; mosses),,Inorganic Inorganic nutrients (N/P),0,12,2,4,3,R,Toolik Lake at the arctic Longterm Ecological Research (LTER) site in the northern foothills of the Brooks Range; Alaska,68.63,-149.57,760,,5,,24,6,,9.4667,0.6338,730,1095,0.6667,-0.4055,N,Y,0,,Ambient nutrients,,,control,control,,,,,,,,,,,,,,,,,,,,,2.23,19.8,,2.26,1.92,4.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,29,5,13,Bret-Harte et al. 2004,F1; F4,TD,P,1,SST,,g m-2,Plant aboveground dry mass,Plantae (tussock tundra ... graminoids; deciduous shrubs; evergreen shrubs; mosses),plant,Inorganic Inorganic nutrients (N/P),0,12,2,4,3,R,Toolik Lake at the arctic Longterm Ecological Research (LTER) site in the northern foothills of the Brooks Range; Alaska,68.63,-149.57,760,,5,,24,6,,9.4667,0.6338,730,1095,0.6667,-0.4055,N,Y,0,,Elevated nutrients,,,experimental,incr,,,,,,,,,,,,,,,,,,,,,595,551,,573,782,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,30,5,13,Bret-Harte et al. 2004,F1; F4,TD,P,1,SSR,,mg NO3-N g-1 dry weight resin,,Plantae (tussock tundra ... graminoids; deciduous shrubs; evergreen shrubs; mosses),,Inorganic Inorganic nutrients (N/P),0,12,2,4,3,R,Toolik Lake at the arctic Longterm Ecological Research (LTER) site in the northern foothills of the Brooks Range; Alaska,68.63,-149.57,760,,5,,24,6,,9.4667,0.6338,730,1095,0.6667,-0.4055,N,Y,0,,Elevated nutrients,,,experimental,incr,,,,,,,,,,,,,,,,,,,,,500,307,,178,199.05,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,31,5,13,Bret-Harte et al. 2004,F1; F4,TD,P,1,SSR,,mg PO4-N g-1 dry weight resin,,Plantae (tussock tundra ... graminoids; deciduous shrubs; evergreen shrubs; mosses),,Inorganic Inorganic nutrients (N/P),0,12,2,4,3,R,Toolik Lake at the arctic Longterm Ecological Research (LTER) site in the northern foothills of the Brooks Range; Alaska,68.63,-149.57,760,,5,,24,6,,9.4667,0.6338,730,1095,0.6667,-0.4055,N,Y,0,,Elevated nutrients,,,experimental,incr,,,,,,,,,,,,,,,,,,,,,773,463,,92.3,111.3,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,32,6,14,Brinkman et al. 2005,data from authors,TD,H,2,SSR,,g m-2,Plant belowground dry mass,Animalia:Nematoda (Heterodera arenaria; Meloidogyne maritima; Pratylenchus penetrans) ,,Plantae (Dune grass; Ammophila arenaria),0,13,2,4,2,A,Brielse Gatdam; the Netherlands,51.93,4.05,,,2,3,3,0.049,,0.0084,5.8218,515,24.3333,21.1644,3.0523,Y,N,1,N,Burial,,,control,control,,264.5884,284.4137,,235.8071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,33,6,14,Brinkman et al. 2005,data from authors,TD,H,2,SSR,,g m-2,Plant belowground dry mass,Animalia:Nematoda (Heterodera arenaria; Meloidogyne maritima; Pratylenchus penetrans) ,,Plantae (Dune grass; Ammophila arenaria),0,13,2,4,2,A,Brielse Gatdam; the Netherlands,51.93,4.05,,,2,3,3,0.049,,0.0084,5.8218,910,24.3333,37.3973,3.6216,Y,N,1,N,Burial,,,control,control,,193.8918,202.5163,,177.9796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,34,6,14,Brinkman et al. 2005,data from authors,TD,H,2,SSR,,g m-2,Plant belowground dry mass,Animalia:Nematoda (Heterodera arenaria; Meloidogyne maritima; Pratylenchus penetrans) ,,Plantae (Dune grass; Ammophila arenaria),0,13,2,4,2,A,Brielse Gatdam; the Netherlands,51.93,4.05,,,2,3,3,0.049,,0.0084,5.8218,1245,24.3333,51.1644,3.935,Y,Y,1,N,Burial,,,control,control,,130.1837,176.2381,,159.0816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,35,6,14,Brinkman et al. 2005,data from authors,TD,H,2,RD,C,proportional change,Original units: g m-2,Animalia:Nematoda (Heterodera arenaria; Meloidogyne maritima; Pratylenchus penetrans) ,,Plantae (Dune grass; Ammophila arenaria),0,13,2,4,2,A,Brielse Gatdam; the Netherlands,51.93,4.05,,,2,3,3,0.049,,0.0084,5.8218,515,24.3333,21.1644,3.0523,Y,N,1,N,Burial,,,control,control,,0.0265,-0.0465,,0.1324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,36,6,14,Brinkman et al. 2005,data from authors,TD,H,2,RD,C,proportional change,Original units: g m-2,Animalia:Nematoda (Heterodera arenaria; Meloidogyne maritima; Pratylenchus penetrans) ,,Plantae (Dune grass; Ammophila arenaria),0,13,2,4,2,A,Brielse Gatdam; the Netherlands,51.93,4.05,,,2,3,3,0.049,,0.0084,5.8218,910,24.3333,37.3973,3.6216,Y,N,1,N,Burial,,,control,control,,-0.0979,-0.1467,,-0.0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,37,6,14,Brinkman et al. 2005,data from authors,TD,H,2,RD,C,proportional change,Original units: g m-2,Animalia:Nematoda (Heterodera arenaria; Meloidogyne maritima; Pratylenchus penetrans) ,,Plantae (Dune grass; Ammophila arenaria),0,13,2,4,2,A,Brielse Gatdam; the Netherlands,51.93,4.05,,,2,3,3,0.049,,0.0084,5.8218,1245,24.3333,51.1644,3.935,Y,Y,1,N,Burial,,,control,control,,0.197,-0.0871,,0.0188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,38,6,15,Brinkman et al. 2005,data from authors,TD,H,2,SSR,,g m-2,Plant belowground dry mass,Animalia:Nematoda (Heterodera arenaria; Meloidogyne maritima; Pratylenchus penetrans) ,,Plantae (Dune grass; Ammophila arenaria),0,13,2,4,2,A,Brielse Gatdam; the Netherlands,51.93,4.05,,,2,3,3,0.049,,0.0084,5.8218,910,24.3333,37.3973,3.6216,Y,N,1,N,No burial,,,experimental,control,,158.7224,151.2626,,189.6245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,39,6,15,Brinkman et al. 2005,data from authors,TD,H,2,SSR,,g m-2,Plant belowground dry mass,Animalia:Nematoda (Heterodera arenaria; Meloidogyne maritima; Pratylenchus penetrans) ,,Plantae (Dune grass; Ammophila arenaria),0,13,2,4,2,A,Brielse Gatdam; the Netherlands,51.93,4.05,,,2,3,3,0.049,,0.0084,5.8218,1245,24.3333,51.1644,3.935,Y,Y,1,N,No burial,,,experimental,control,,130.4796,118.9966,,140.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,40,6,15,Brinkman et al. 2005,data from authors,TD,H,2,RD,C,proportional change,Original units: g m-2,Animalia:Nematoda (Heterodera arenaria; Meloidogyne maritima; Pratylenchus penetrans) ,,Plantae (Dune grass; Ammophila arenaria),0,13,2,4,2,A,Brielse Gatdam; the Netherlands,51.93,4.05,,,2,3,3,0.049,,0.0084,5.8218,910,24.3333,37.3973,3.6216,Y,N,1,N,No burial,,,experimental,control,,0.0208,0.0668,,-0.1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,41,6,15,Brinkman et al. 2005,data from authors,TD,H,2,RD,C,proportional change,Original units: g m-2,Animalia:Nematoda (Heterodera arenaria; Meloidogyne maritima; Pratylenchus penetrans) ,,Plantae (Dune grass; Ammophila arenaria),0,13,2,4,2,A,Brielse Gatdam; the Netherlands,51.93,4.05,,,2,3,3,0.049,,0.0084,5.8218,1245,24.3333,51.1644,3.935,Y,Y,1,N,No burial,,,experimental,control,,-0.1384,-0.0383,,-0.2228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
