site,studySub,studyName,subSiteID,sppCode,Scale,date.no,dateR,rich,div,abund,temp_n,duration,initialDate.no,initialRich,initialDiv,initialAbund,initialDateR,PubGrayRaw,Peer,Sys,Taxon,Trophic,alphaSQM,AbundType,AbundUnitsOrig,AbundYes,Event,Event1,Event2,Driver,Prediction,EventDate1,EventDate2,Lat,Long,nSiteReps,Climate,Protection,event1R,event2R,abundFinal,slKM,gammaSQM,richLN,initialRichLN,year0,initialYr,year0Z,initialYrZ,durationZ,abundCS
ABUR,SBCalg,SBC,SBCalg_ABUR_R,R,alpha,35642,8/1/01,11.5,1.971451739,91.25,12,11.01,35642,11.5,1.971,91.25,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,91.3,0.1,200,2.451,2.451,39.58,39.58,11.58,11.58,-16.99,0.484
ABUR,SBCalg,SBC,SBCalg_ABUR_R,R,alpha,38564,8/1/09,8,1.387964853,79.375,12,11.01,35642,11.5,1.971,91.25,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,79.4,0.1,200,2.092,2.451,47.58,39.58,19.58,11.58,-16.99,0.109
ABUR,SBCalg,SBC,SBCalg_ABUR_S,S,gamma,37103,8/1/05,15,NA,247.5,12,11.01,35642,17,NA,182.5,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,247.5,0.1,200,2.715,2.839,43.58,39.58,15.58,11.58,-16.99,1.507
ABUR,SBCalg,SBC,SBCalg_ABUR_S,S,gamma,35642,8/1/01,17,NA,182.5,12,11.01,35642,17,NA,182.5,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,182.5,0.1,200,2.839,2.839,39.58,39.58,11.58,11.58,-16.99,0.483
ABUR,SBCalg,SBC,SBCalg_ABUR_S,S,gamma,37468,8/1/06,18,NA,158.8,12,11.01,35642,17,NA,182.5,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,158.8,0.1,200,2.896,2.839,44.58,39.58,16.58,11.58,-16.99,0.109
ABUR,SBCalg,SBC,SBCalg_ABUR_S,S,gamma,39294,8/1/11,20,NA,166.2,12,11.01,35642,17,NA,182.5,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,166.2,0.1,200,3.001,2.839,49.58,39.58,21.58,11.58,-16.99,0.226
ABUR,SBCalg,SBC,SBCalg_ABUR_S,S,gamma,36738,8/1/04,7,NA,32.5,12,11.01,35642,17,NA,182.5,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,32.5,0.1,200,1.96,2.839,42.58,39.58,14.58,11.58,-16.99,-1.882
ABUR,SBCalg,SBC,SBCalg_ABUR_S,S,gamma,37833,8/1/07,17,NA,216.2,12,11.01,35642,17,NA,182.5,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,216.2,0.1,200,2.839,2.839,45.58,39.58,17.58,11.58,-16.99,1.014
ABUR,SBCalg,SBC,SBCalg_ABUR_S,S,gamma,38199,8/1/08,17,NA,173.8,12,11.01,35642,17,NA,182.5,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,173.8,0.1,200,2.839,2.839,46.58,39.58,18.58,11.58,-16.99,0.345
ABUR,SBCalg,SBC,SBCalg_ABUR_S,S,gamma,38929,8/1/10,19,NA,185,12,11.01,35642,17,NA,182.5,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,185,0.1,200,2.95,2.839,48.58,39.58,20.58,11.58,-16.99,0.522
ABUR,SBCalg,SBC,SBCalg_ABUR_S,S,gamma,39660,8/1/12,19,NA,160,12,11.01,35642,17,NA,182.5,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,160,0.1,200,2.95,2.839,50.58,39.58,22.58,11.58,-16.99,0.128
ABUR,SBCalg,SBC,SBCalg_ABUR_S,S,gamma,36372,8/1/03,9,NA,52.5,12,11.01,35642,17,NA,182.5,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,52.5,0.1,200,2.208,2.839,41.58,39.58,13.58,11.58,-16.99,-1.567
ABUR,SBCalg,SBC,SBCalg_ABUR_S,S,gamma,38564,8/1/09,14,NA,158.8,12,11.01,35642,17,NA,182.5,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,158.8,0.1,200,2.646,2.839,47.58,39.58,19.58,11.58,-16.99,0.109
ABUR,SBCalg,SBC,SBCalg_ABUR_S,S,gamma,36007,8/1/02,15,NA,88.8,12,11.01,35642,17,NA,182.5,8/1/01,Raw,Unpublished,hardBottom,algae,1,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,88.8,0.1,200,2.715,2.839,40.58,39.58,12.58,11.58,-16.99,-0.994
ABUR,SBCfish,SBC,SBCfish_ABUR_R,R,alpha,37103,8/1/05,5.5,1.297636235,16,12,11.01,35642,4.5,1.275,10,8/1/01,Raw,Unpublished,hardBottom,fish,3,80,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.2,0.1,400,1.723,1.526,43.58,39.58,15.58,11.58,-16.99,-0.453
ABUR,SBCfish,SBC,SBCfish_ABUR_R,R,alpha,38929,8/1/10,5.5,0.988888885,51.5,12,11.01,35642,4.5,1.275,10,8/1/01,Raw,Unpublished,hardBottom,fish,3,80,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.64375,0.1,400,1.723,1.526,48.58,39.58,20.58,11.58,-16.99,0.097
ABUR,SBCfish,SBC,SBCfish_ABUR_R,R,alpha,39660,8/1/12,5.5,0.997265139,35.5,12,11.01,35642,4.5,1.275,10,8/1/01,Raw,Unpublished,hardBottom,fish,3,80,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.44375,0.1,400,1.723,1.526,50.58,39.58,22.58,11.58,-16.99,-0.151
ABUR,SBCfish,SBC,SBCfish_ABUR_R,R,alpha,36007,8/1/02,3.5,0.860928237,18,12,11.01,35642,4.5,1.275,10,8/1/01,Raw,Unpublished,hardBottom,fish,3,80,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.225,0.1,400,1.281,1.526,40.58,39.58,12.58,11.58,-16.99,-0.422
ABUR,SBCfish,SBC,SBCfish_ABUR_R,R,alpha,37833,8/1/07,3,0.93094262,7,12,11.01,35642,4.5,1.275,10,8/1/01,Raw,Unpublished,hardBottom,fish,3,80,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.0875,0.1,400,1.131,1.526,45.58,39.58,17.58,11.58,-16.99,-0.592
ABUR,SBCfish,SBC,SBCfish_ABUR_R,R,alpha,39294,8/1/11,5.5,0.921456242,59.5,12,11.01,35642,4.5,1.275,10,8/1/01,Raw,Unpublished,hardBottom,fish,3,80,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.74375,0.1,400,1.723,1.526,49.58,39.58,21.58,11.58,-16.99,0.22
ABUR,SBCfish,SBC,SBCfish_ABUR_R,R,alpha,37468,8/1/06,5,1.022232122,56.5,12,11.01,35642,4.5,1.275,10,8/1/01,Raw,Unpublished,hardBottom,fish,3,80,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.70625,0.1,400,1.629,1.526,44.58,39.58,16.58,11.58,-16.99,0.174
ABUR,SBCfish,SBC,SBCfish_ABUR_R,R,alpha,35642,8/1/01,4.5,1.275403474,10,12,11.01,35642,4.5,1.275,10,8/1/01,Raw,Unpublished,hardBottom,fish,3,80,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.125,0.1,400,1.526,1.526,39.58,39.58,11.58,11.58,-16.99,-0.545
ABUR,SBCfish,SBC,SBCfish_ABUR_R,R,alpha,36372,8/1/03,5,1.17223922,22.5,12,11.01,35642,4.5,1.275,10,8/1/01,Raw,Unpublished,hardBottom,fish,3,80,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.28125,0.1,400,1.629,1.526,41.58,39.58,13.58,11.58,-16.99,-0.352
ABUR,SBCfish,SBC,SBCfish_ABUR_R,R,alpha,38199,8/1/08,8,0.883710338,241.5,12,11.01,35642,4.5,1.275,10,8/1/01,Raw,Unpublished,hardBottom,fish,3,80,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,3.01875,0.1,400,2.092,1.526,46.58,39.58,18.58,11.58,-16.99,3.037
ABUR,SBCfish,SBC,SBCfish_ABUR_R,R,alpha,38564,8/1/09,4,0.851850008,12,12,11.01,35642,4.5,1.275,10,8/1/01,Raw,Unpublished,hardBottom,fish,3,80,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.15,0.1,400,1.411,1.526,47.58,39.58,19.58,11.58,-16.99,-0.514
ABUR,SBCfish,SBC,SBCfish_ABUR_S,S,gamma,36372,8/1/03,8,NA,45,12,11.01,35642,7,NA,20,8/1/01,Raw,Unpublished,hardBottom,fish,3,80,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.28125,0.1,400,2.092,1.96,41.58,39.58,13.58,11.58,-16.99,-0.352
ABUR,SBCfish,SBC,SBCfish_ABUR_S,S,gamma,38564,8/1/09,8,NA,24,12,11.01,35642,7,NA,20,8/1/01,Raw,Unpublished,hardBottom,fish,3,80,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.15,0.1,400,2.092,1.96,47.58,39.58,19.58,11.58,-16.99,-0.514
ABUR,SBCfish,SBC,SBCfish_ABUR_S,S,gamma,36738,8/1/04,5,NA,26,12,11.01,35642,7,NA,20,8/1/01,Raw,Unpublished,hardBottom,fish,3,80,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.1625,0.1,400,1.629,1.96,42.58,39.58,14.58,11.58,-16.99,-0.499
ABUR,SBCfish,SBC,SBCfish_ABUR_S,S,gamma,35642,8/1/01,7,NA,20,12,11.01,35642,7,NA,20,8/1/01,Raw,Unpublished,hardBottom,fish,3,80,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.125,0.1,400,1.96,1.96,39.58,39.58,11.58,11.58,-16.99,-0.545
ABUR,SBCfish,SBC,SBCfish_ABUR_S,S,gamma,37833,8/1/07,5,NA,14,12,11.01,35642,7,NA,20,8/1/01,Raw,Unpublished,hardBottom,fish,3,80,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.0875,0.1,400,1.629,1.96,45.58,39.58,17.58,11.58,-16.99,-0.592
ABUR,SBCfish,SBC,SBCfish_ABUR_S,S,gamma,38199,8/1/08,12,NA,483,12,11.01,35642,7,NA,20,8/1/01,Raw,Unpublished,hardBottom,fish,3,80,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,3.01875,0.1,400,2.493,1.96,46.58,39.58,18.58,11.58,-16.99,3.037
ABUR,SBCfish,SBC,SBCfish_ABUR_S,S,gamma,39660,8/1/12,9,NA,71,12,11.01,35642,7,NA,20,8/1/01,Raw,Unpublished,hardBottom,fish,3,80,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.44375,0.1,400,2.208,1.96,50.58,39.58,22.58,11.58,-16.99,-0.151
ABUR,SBCfish,SBC,SBCfish_ABUR_S,S,gamma,37103,8/1/05,10,NA,32,12,11.01,35642,7,NA,20,8/1/01,Raw,Unpublished,hardBottom,fish,3,80,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.2,0.1,400,2.313,1.96,43.58,39.58,15.58,11.58,-16.99,-0.453
ABUR,SBCfish,SBC,SBCfish_ABUR_S,S,gamma,38929,8/1/10,9,NA,103,12,11.01,35642,7,NA,20,8/1/01,Raw,Unpublished,hardBottom,fish,3,80,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.64375,0.1,400,2.208,1.96,48.58,39.58,20.58,11.58,-16.99,0.097
ABUR,SBCfish,SBC,SBCfish_ABUR_S,S,gamma,36007,8/1/02,7,NA,36,12,11.01,35642,7,NA,20,8/1/01,Raw,Unpublished,hardBottom,fish,3,80,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.225,0.1,400,1.96,1.96,40.58,39.58,12.58,11.58,-16.99,-0.422
ABUR,SBCfish,SBC,SBCfish_ABUR_S,S,gamma,39294,8/1/11,9,NA,119,12,11.01,35642,7,NA,20,8/1/01,Raw,Unpublished,hardBottom,fish,3,80,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.74375,0.1,400,2.208,1.96,49.58,39.58,21.58,11.58,-16.99,0.22
ABUR,SBCfish,SBC,SBCfish_ABUR_S,S,gamma,37468,8/1/06,7,NA,113,12,11.01,35642,7,NA,20,8/1/01,Raw,Unpublished,hardBottom,fish,3,80,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.70625,0.1,400,1.96,1.96,44.58,39.58,16.58,11.58,-16.99,0.174
ABUR,SBCinv,SBC,SBCinv_ABUR_R,R,alpha,37468,8/1/06,0.5,0,1.25,12,11.01,35642,3,0.591,24.375,8/1/01,Raw,Unpublished,hardBottom,sessile invertebrates,2,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,1.3,0.1,200,-0.511,1.131,44.58,39.58,16.58,11.58,-16.99,-1.004
ABUR,SBCinv,SBC,SBCinv_ABUR_R,R,alpha,37103,8/1/05,4.5,0.942435667,9.375,12,11.01,35642,3,0.591,24.375,8/1/01,Raw,Unpublished,hardBottom,sessile invertebrates,2,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,9.4,0.1,200,1.526,1.131,43.58,39.58,15.58,11.58,-16.99,-0.077
ABUR,SBCinv,SBC,SBCinv_ABUR_R,R,alpha,35642,8/1/01,3,0.591016268,24.375,12,11.01,35642,3,0.591,24.375,8/1/01,Raw,Unpublished,hardBottom,sessile invertebrates,2,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,24.4,0.1,200,1.131,1.131,39.58,39.58,11.58,11.58,-16.99,1.64
ABUR,SBCinv,SBC,SBCinv_ABUR_R,R,alpha,39660,8/1/12,2.5,0.410027372,17.5,12,11.01,35642,3,0.591,24.375,8/1/01,Raw,Unpublished,hardBottom,sessile invertebrates,2,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,17.5,0.1,200,0.956,1.131,50.58,39.58,22.58,11.58,-16.99,0.85
ABUR,SBCinv,SBC,SBCinv_ABUR_R,R,alpha,36007,8/1/02,2.5,0.516563254,25.625,12,11.01,35642,3,0.591,24.375,8/1/01,Raw,Unpublished,hardBottom,sessile invertebrates,2,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,25.6,0.1,200,0.956,1.131,40.58,39.58,12.58,11.58,-16.99,1.777
ABUR,SBCinv,SBC,SBCinv_ABUR_R,R,alpha,38564,8/1/09,1,0,1.25,12,11.01,35642,3,0.591,24.375,8/1/01,Raw,Unpublished,hardBottom,sessile invertebrates,2,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,1.3,0.1,200,0.095,1.131,47.58,39.58,19.58,11.58,-16.99,-1.004
ABUR,SBCinv,SBC,SBCinv_ABUR_R,R,alpha,36738,8/1/04,1,0.225280604,3.75,12,11.01,35642,3,0.591,24.375,8/1/01,Raw,Unpublished,hardBottom,sessile invertebrates,2,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,3.8,0.1,200,0.095,1.131,42.58,39.58,14.58,11.58,-16.99,-0.718
ABUR,SBCinv,SBC,SBCinv_ABUR_R,R,alpha,38929,8/1/10,1.5,0.549306144,1.875,12,11.01,35642,3,0.591,24.375,8/1/01,Raw,Unpublished,hardBottom,sessile invertebrates,2,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,1.9,0.1,200,0.47,1.131,48.58,39.58,20.58,11.58,-16.99,-0.936
ABUR,SBCinv,SBC,SBCinv_ABUR_R,R,alpha,38199,8/1/08,2.5,0.830473717,4.375,12,11.01,35642,3,0.591,24.375,8/1/01,Raw,Unpublished,hardBottom,sessile invertebrates,2,40,PercentCover,PercentCover,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,4.4,0.1,200,0.956,1.131,46.58,39.58,18.58,11.58,-16.99,-0.65
ABUR,SBCmobQ,SBC,SBCmobQ_ABUR_R,R,alpha,36738,8/1/04,0.083333333,0,0.08333,12,11.01,35642,0.5,0.058,0.5,8/1/01,Raw,Unpublished,hardBottom,benthic invertebrate consumers,3,1,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.08333,0.1,21,-1.696,-0.511,42.58,39.58,14.58,11.58,-16.99,-0.662
ABUR,SBCmobQ,SBC,SBCmobQ_ABUR_R,R,alpha,38199,8/1/08,0.25,0,0.25,12,11.01,35642,0.5,0.058,0.5,8/1/01,Raw,Unpublished,hardBottom,benthic invertebrate consumers,3,1,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.25,0.1,21,-1.05,-0.511,46.58,39.58,18.58,11.58,-16.99,0.331
ABUR,SBCmobQ,SBC,SBCmobQ_ABUR_R,R,alpha,37833,8/1/07,0.083333333,0,0.16667,12,11.01,35642,0.5,0.058,0.5,8/1/01,Raw,Unpublished,hardBottom,benthic invertebrate consumers,3,1,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.16667,0.1,21,-1.696,-0.511,45.58,39.58,17.58,11.58,-16.99,-0.165
ABUR,SBCmobQ,SBC,SBCmobQ_ABUR_R,R,alpha,38929,8/1/10,0,0,0,12,11.01,35642,0.5,0.058,0.5,8/1/01,Raw,Unpublished,hardBottom,benthic invertebrate consumers,3,1,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0,0.1,21,-2.303,-0.511,48.58,39.58,20.58,11.58,-16.99,-1.158
ABUR,SBCmobQ,SBC,SBCmobQ_ABUR_R,R,alpha,35642,8/1/01,0.5,0.057762265,0.5,12,11.01,35642,0.5,0.058,0.5,8/1/01,Raw,Unpublished,hardBottom,benthic invertebrate consumers,3,1,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.5,0.1,21,-0.511,-0.511,39.58,39.58,11.58,11.58,-16.99,1.82
ABUR,SBCmobQ,SBC,SBCmobQ_ABUR_R,R,alpha,37103,8/1/05,0.25,0,0.41667,12,11.01,35642,0.5,0.058,0.5,8/1/01,Raw,Unpublished,hardBottom,benthic invertebrate consumers,3,1,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.41667,0.1,21,-1.05,-0.511,43.58,39.58,15.58,11.58,-16.99,1.323
ABUR,SBCmobQ,SBC,SBCmobQ_ABUR_R,R,alpha,38564,8/1/09,0.166666667,0.041700202,0.41667,12,11.01,35642,0.5,0.058,0.5,8/1/01,Raw,Unpublished,hardBottom,benthic invertebrate consumers,3,1,Abundance,individualsPerSample,1,no,NA,NA,None,neutral,NA,NA,34.400275,-119.7445915,1,subtropical,2_unprotected,NA,NA,0.41667,0.1,21,-1.322,-0.511,47.58,39.58,19.58,11.58,-16.99,1.323
